Priority,Classification,Item,Path,Kind,ProductionRefs,TestRefs,PrefabGuidRefs,StageContentCount,RuntimeReachable,OnlyDocs,OnlyTests,WhyDeadOrLowValue,DeleteOrRefactorAction,Risk,RequiredTests
P0,DELETE_NOW_UNUSED,"PushChange_Legacy / FlipChange_Legacy","Assets/_Features/UI/UI_Screens/Prefabs/SettingsScreen.prefab","prefab object name","0","0","0","n/a","No","No","No","Previous duplicate settings rows are absent; no active refs remain","No action except keep absence canary/docs note","Low","./run_tests.sh ui only if changing UI docs/tests"
P0,DOCUMENTED_RENAMED_RETAINED,"Player_S1_GameplayActionAudioProfile.asset canonical production profile","Assets/_Features/Gameplay/Gameplay_ActionAudio/Profiles/Player_S1_GameplayActionAudioProfile.asset","asset name/source sync","Player_S1.prefab references GUID 42a2e109fc5141ec9e866925a0a85c3b","Action audio runtime/smoke tests","profile attached","n/a","Yes","No","No","Old _Test profile name is absent after rename; canonical production profile remains","Keep canonical name in current docs; keep _Test only as historical absence wording","Low","None unless touching audio tests"
P1,REMOVED_AFTER_C_OPTION_DECISION,"RemovedLegacyFallbackDiagnosticsEnabled","Assets/_Features/Gameplay/Gameplay_Loop/Runtime/GameplayRuntimeFeatureFlags.cs","canonical diagnostics field","Diagnostic routing only","Boundary/replay tests","0","n/a","Yes","No","No","Canonical name proves removed-fallback diagnostics without implying fallback authorization","Old-name API and trace projection removed; keep canonical field","High","./run_tests.sh core; replay determinism targeted tests"
P0,DELETE_NOW_UNUSED,"RemovedDiagnosticBaselineAlias / RemovedDiagnosticHelperAlias aliases","Assets","C# aliases","0","0","0","n/a","No","No","No","Runtime aliases absent; remaining mentions are migration docs","Do not re-add; optionally trim historical docs","Low","Docs-only no lane, or core if tests changed"
P2,DOCUMENTED_CURRENT_POLICY,"Flip keyboard-only binding policy","Assets/InputSystem_Actions.inputactions","input binding","Push keeps existing controller binding; Flip stays keyboard-only","Input tests cover keyboard path","InputActionAsset","n/a","Partially","No","No","Current product input policy keeps Flip keyboard-only","Do not add controller binding in this cleanup PR","Medium","./run_tests.sh core; input/playmode targeted tests"
P2,REMOVED_BY_PRODUCT_DECISION,"Gameplay UI Push/Flip action request route","Assets/_Features/Gameplay/Gameplay_Host/Runtime/UIAccess/GameplayHostCommandGateway.cs","UI command gateway","No production UI caller found","RuntimeBoardBoundsGuard/UI tests","0","n/a","Was reachable via gateway only","No","Mostly","No current touch/mobile/assist action button surface","Remove interface methods, host forwarding, input buffers, fakes, and route-only tests","High","./run_tests.sh core; ./run_tests.sh ui"
P4,REFACTOR_RENAME_ONLY,"GameplayInputHost Flip started+performed duplicate buffering","Assets/_Features/Gameplay/Gameplay_Host/Runtime/GameplayInputHost.cs","input callback","Physical Flip route","Input/playmode tests","0","n/a","Yes","No","No","Both callbacks set same bool; may be redundant but can affect Input System edge semantics","Document or normalize after input test proof","Medium","PlayerMovementPlayModeTests; ./run_tests.sh core"
P4,KEEP_TEST_GOVERNANCE,"PlayerTickCommand.PushPressed/FlipPressed direct tests","Assets/_Features/Gameplay/Gameplay_Tests","test command construction","Runtime command fields consumed by PlayerLogic/PlayerControlStateLogic","69 Push, 63 Flip direct calls","0","n/a","Yes","No","No","Most tests pin gameplay command contract, not obsolete API","Do not delete broadly; review only duplicate low-level edge tests","Medium","MovementPhaseScenarioTests; PlayerMovementInputTests; ./run_tests.sh core"
P1,DELETE_AFTER_TEST_MIGRATION,"PlayerTickCommand.Create(... pushPressed: true) no-direction edge tests","PlayerControlScenarioTests.cs; PlayerMovementInputTests.cs","low-level test shape","No product caller uses no-direction UI/physical Push except host no-op path","2 direct calls","0","n/a","Yes in tests","No","Yes","Tests preserve command shape and may duplicate host/input behavior","Migrate to host/physical coverage if equivalent, then remove direct shape tests","Medium","PlayerMovementInputTests; PlayerMovementPlayModeTests; ./run_tests.sh core"
P4,KEEP_TEST_GOVERNANCE,"Plain move into Push box suppression test/helper","MovementPhaseScenarioTests; PlayerMovementPlayModeTests","test governance","Explicit Push semantics","Current tests","0","n/a","Yes","No","No","Prevents ordinary move from reviving implicit Push","Keep","Low","MovementPhaseScenarioTests; PlayerMovementPlayModeTests"
