Priority,Classification,Item,Path,Kind,ProductionRefs,TestRefs,PrefabGuidRefs,DocsRefs,RuntimeReachable,WhyUnusedOrLegacy,Risk,RequiredAction
P0,DELETE_CANDIDATE_OBSOLETE_FEATURE,"Push contact accumulation / threshold model","Docs/Archive/Architecture/*; Docs/Architecture/Immediate-Push-Input-Semantics.md","doc section","No active runtime refs found","No active tests found","None found","Archive/current docs mention historical pushContactTicks/contact threshold","No","Historical model only; current Push input is explicit edge action","Low if archive policy allows cleanup; medium if archives are intentionally retained","Remove or move stale non-archive mentions only; leave archive if historical retention is required"
P1,REMOVED_ALIAS,"GameplayRuntimeFeatureFlags.RemovedDiagnosticBaselineAlias","Assets/_Features/Gameplay/Gameplay_Loop/Runtime/GameplayRuntimeFeatureFlags.cs","C# static compatibility alias","None after migration","BoundaryInventoryScenarioTests migrated to canonical/absence checks","No scene/prefab exposure found","Legacy ordinary movement deprecation docs mark historical/removed","Diagnostic only","Canonical preset is removed diagnostic baseline preset (historical, deleted)","Low after migration","Deleted alias after tests/docs migration"
P1,REMOVED_ALIAS,"GameplayRuntimeFeatureFlags.RemovedDiagnosticHelperAlias","Assets/_Features/Gameplay/Gameplay_Loop/Runtime/GameplayRuntimeFeatureFlags.cs","C# property compatibility alias","None after migration","BoundaryInventoryScenarioTests migrated to canonical/absence checks","No scene/prefab exposure found","Legacy ordinary movement deprecation docs mark historical/removed","Diagnostic only","Canonical helper is RemovedLegacyFallbackDiagnosticsEnabled","Low after migration","Deleted alias after tests/docs migration"
P1/P3,CANONICAL_DIAGNOSTICS_FIELD,"GameplayRuntimeFeatureFlags.RemovedLegacyFallbackDiagnosticsEnabled","Assets/_Features/Gameplay/Gameplay_Loop/Runtime/GameplayRuntimeFeatureFlags.cs","C# field/constructor parameter","Canonical removed-fallback diagnostics field; scene config docs say not exposed","Boundary/replay governance tests","No scene YAML exposure claimed by existing docs","Phase 8E docs record C안 completed migration","Diagnostic only","Canonical name proves removed fallback diagnostics without re-enabling fallback","High; public struct/constructor/replay churn completed in C안","Keep canonical field; old compatibility projection removed"
P1,REMOVED_LEGACY_FIELD,"StageSpawnDefinition.PresentationId legacy field","Assets/_Features/Stages/Runtime/StageDefinition.cs","serialized field","Canonical StagePresentationDefinition path","StageRuntimeBuilderTests and validator tests migrated","Generated gameplay stage assets migrated off field","Stage presentation migration docs","No legacy read path remains","StagePresentationDefinition is source of truth","Medium; asset migration and presentation binding risk","Removed field after content/tests/validators migrated"
P1/P3,REMOVED_ALIAS,"GroupId / SourceActionGroupId compatibility aliases","Assets/_Features/Gameplay/**/*; Docs/Architecture/Tick-Simulation-Canonical-Spec.md; Docs/Testing/ActionPlanId-Correlation-Housekeeping-Baseline-2026-04-20.md","runtime carrier/test/doc compatibility alias","Compatibility carrier aliases removed; internal ActionGroup GroupId vocabulary retained where semantically active","ActionPlanCorrelationContractTests migrated","No prefab/GUID exposure expected","Canonical spec and testing guide updated","No public alias surface remains","Aliases mirrored ActionPlanId/SourceActionPlanId; IntentId remains canonical internal ID","Medium; determinism/replay/tool compatibility","Removed aliases after canonical migration; keep IntentId"
P2/P3,REMOVED_STALE_LEDGER,"Push/Item stale trace ledger rows","Docs/DeferredStaleLedger.md; Docs/Testing/Lane-A-Live-Row-Ledger-2026-04-22.md","test ledger/docs","No production runtime refs","Stale rows removed","No prefab/GUID exposure","Deferred stale and lane ledgers updated","No runtime reachability; governance docs only","Rows were baseline/triage governance, not current runtime feature","Low runtime risk","Deleted active stale legacy Push/Item trace-token rows"
P2,REMOVED_DUPLICATE,"SettingsScreen legacy Push change button GameObject","Assets/_Features/UI/UI_Screens/Prefabs/SettingsScreen.prefab","prefab object/name","Settings UI prefab keeps current PushInputRow and PushKeyDisplay","UI tests indirectly cover settings input","Legacy prefab object removed","None found","No","Inactive duplicate existed beside current input row/key display","Medium; serialized Unity references checked before deletion","Deleted inactive duplicate object; run ui lane"
P2,REMOVED_DUPLICATE,"SettingsScreen legacy Flip change button GameObject","Assets/_Features/UI/UI_Screens/Prefabs/SettingsScreen.prefab","prefab object/name","Settings UI prefab keeps current FlipInputRow and FlipKeyDisplay","UI tests indirectly cover settings input","Legacy prefab object removed","None found","No","Inactive duplicate existed beside current input row/key display","Medium; serialized Unity references checked before deletion","Deleted inactive duplicate object; run ui lane"
P2,RETIRED_VOCABULARY,"ActionBar Push/Flip retired vocabulary","Docs/Architecture/UI-Architecture-Guidelines.md; Docs/Architecture/Immediate-Push-Input-Semantics.md","doc vocabulary","No active ActionBar runtime consumer found","UI docs/tests mention retirement","No prefab component refs found in scan","Docs contain ActionBar retirement/absence notes","No","ActionBar is historical/retired vocabulary; actual HUD owner is HUDRoot/PlayerStatus query path","Low; docs-only","Consolidate docs around current HUD owner; keep only explicit historical note"
P2/P3,RENAMED_RETAINED,"Player_S1_GameplayActionAudioProfile misleading production asset name","Assets/_Features/Gameplay/Gameplay_ActionAudio/Profiles/Player_S1_GameplayActionAudioProfile.asset","ScriptableObject asset","Player_S1.prefab GameplayActionAudioAuthoring references GUID 42a2e109fc5141ec9e866925a0a85c3b","GameplayActionAudioRuntimeTests and AudioRepositoryAssetSmokeCoreTests","Player_S1.prefab references same profile GUID","Audio governance docs","Yes","_Test name was misleading but asset is production-bound","High if deleted; medium if renamed without meta/GUID care","Renamed asset/profile and preserved GUID; do not delete"
P3,DOCUMENTED_CURRENT_POLICY,"Flip keyboard-only binding policy","Assets/InputSystem_Actions.inputactions","InputAction binding policy","Keyboard Flip exists; Push also has controller binding","PlayMode tests cover keyboard Flip","Input asset GUID referenced by scenes/settings","Input docs/settings UI","Partial","Current product input policy keeps Flip keyboard-only","Low deletion risk; product UX risk","Do not add controller binding in this cleanup PR"
NONE,KEEP_CURRENTLY_USED,"Player/Push InputAction and bindings","Assets/InputSystem_Actions.inputactions","InputAction","GameplayInputHost reads Player/Push; KeyboardBindingSettingsService uses Player/Push","PlayMode tests press eKey and verify Push edge behavior","Input asset GUID 052faaac586de48259a63d0c4782560b referenced by project settings/scenes","Input docs","Yes","Current physical Push input path","High if removed","Keep"
NONE,KEEP_CURRENTLY_USED,"Player/Flip InputAction and keyboard binding","Assets/InputSystem_Actions.inputactions","InputAction","GameplayInputHost reads Player/Flip; KeyboardBindingSettingsService uses Player/Flip","PlayMode tests press qKey and verify Flip buffering","Input asset GUID 052faaac586de48259a63d0c4782560b referenced by project settings/scenes","Input docs","Yes","Current physical Flip input path","High if removed","Keep"
NONE,KEEP_CURRENTLY_USED,"GameplayInputHost Push/Flip route","Assets/_Features/Gameplay/Gameplay_Host/Runtime/GameplayInputHost.cs","C# input adapter","Host runtime binds actions and emits PlayerTickCommand","Input host PlayMode/unit tests","Runtime composition","Architecture docs","Yes","Canonical adapter","High if removed","Keep"
NONE,REMOVED_BY_PRODUCT_DECISION,"Gameplay UI Push/Flip action request route","Assets/_Features/Gameplay/Gameplay_Host/Runtime/UIAccess/GameplayHostCommandGateway.cs","C# UI command gateway","No production UI action button surface","RuntimeBoardBoundsGuardTests and UI gateway tests migrated","Runtime ports","UI architecture docs","Removed","Current product keeps Push/Flip on physical input","High if restored without product surface","Remove"
NONE,KEEP_CURRENTLY_USED,"BoxCapabilities.Push/Flip stage data","Assets/_Features/Stages/Content/**/*","serialized stage content","Campaign/tutorial/showcase stages contain Push/Flip box rows","Stage/runtime tests","Stage assets and authoring assets","Stage docs","Yes","Production content depends on capability bits","Very high if removed","Keep"
NONE,MIXED_KEEP_AND_REMOVED,"Flip presentation drivers","Assets/_Features/Gameplay/Gameplay_Host/Runtime/BoxFlipInteractionDriver.cs","MonoBehaviour presentation driver","Box-side driver remains; player hand driver removed","Flip/VFX tests assert retained box-side behavior","Runtime view component expectation","VFX governance docs","Box driver yes","TickPresentationData consumer path; not direct simulation owner","High if box driver removed","Keep box driver; remove player hand path"
