Action,Moment,PlannerEmits,ProfileState,BindingGuidOrNull,RuntimeBehavior,ComparablePolicy,Classification,RecommendedAction,Risk,RequiredTests
Push,Windup,Yes,"Authored binding","c2619ac114064b639a9ab2d906a81741",Audible,"Player-only sparse action feedback; not core/UI/enemy policy",KEEP_AUDIBLE_REQUIRED,Keep,"Removing or nulling is production regression","GameplayActionAudioRuntimeTests; AudioRepositoryAssetSmokeCoreTests"
Push,AssistOutOfRange,Yes,"Authored binding","3ab74dfd95fa414fbdc41f0ac20d85b6",Audible,"Player-only sparse action feedback; not core/UI/enemy policy",KEEP_AUDIBLE_REQUIRED,Keep,"Removing loses retained production feedback","GameplayActionAudioRuntimeTests; AudioRepositoryAssetSmokeCoreTests"
Push,NoTarget,Yes,"Authored binding","3ab74dfd95fa414fbdc41f0ac20d85b6",Audible,"Player-only sparse action feedback; not core/UI/enemy policy",KEEP_AUDIBLE_REQUIRED,Keep,"Removing loses retained production feedback","GameplayActionAudioRuntimeTests; AudioRepositoryAssetSmokeCoreTests"
Push,Invalid,Yes,"Authored binding","3ab74dfd95fa414fbdc41f0ac20d85b6",Audible,"Player-only sparse action feedback; not core/UI/enemy policy",KEEP_AUDIBLE_REQUIRED,Keep,"Removing loses retained production feedback","GameplayActionAudioRuntimeTests; AudioRepositoryAssetSmokeCoreTests"
Push,Execute,No,"Not authorable","N/A","Removed surface","Gameplay execute timeline remains outside action audio",REMOVED_MOMENT,"Keep removed","Re-adding requires enum serialization/public surface review","GameplayActionAudioRuntimeTests; AudioArchitectureTests if reintroduced"
Push,Recovery,No,"Not authorable","N/A","Removed surface","Gameplay recovery timeline remains outside action audio",REMOVED_MOMENT,"Keep removed","Re-adding requires enum serialization/public surface review","GameplayActionAudioRuntimeTests; AudioArchitectureTests if reintroduced"
Push,Contact,No,"Not authorable","N/A","Removed surface","Existing contact/impact feedback lanes, not action-audio v1",REMOVED_MOMENT,"Keep removed","Re-adding requires enum serialization/public surface review","GameplayActionAudioRuntimeTests; AudioArchitectureTests if reintroduced"
Push,ImpactEnemy,No,"Not authorable","N/A","Removed surface","Core EnemyDamage and enemy-local death ownership",REMOVED_MOMENT,"Keep removed","Duplicate same-tick action/core feedback risk","GameplayActionAudioRuntimeTests; GameplayAudioRuntimeTests; host orchestration tests if reintroduced"
Push,Blocked,No,"Not authorable","N/A","Removed surface","Existing blocked/impact presentation lanes",REMOVED_MOMENT,"Keep removed","Stale docs could request nonexistent Moment 4","GameplayActionAudioRuntimeTests if reintroduced"
Flip,Windup,Yes,"Authored binding","f41d4a196a0d43eab3e4cf7374718cce",Audible,"Player-only sparse action feedback; not core/UI/enemy policy",KEEP_AUDIBLE_REQUIRED,Keep,"Removing or nulling is production regression","GameplayActionAudioRuntimeTests; AudioRepositoryAssetSmokeCoreTests"
Flip,AssistOutOfRange,Yes,"Authored binding","3ab74dfd95fa414fbdc41f0ac20d85b6",Audible,"Player-only sparse action feedback; not core/UI/enemy policy",KEEP_AUDIBLE_REQUIRED,Keep,"Removing loses retained production feedback","GameplayActionAudioRuntimeTests; AudioRepositoryAssetSmokeCoreTests"
Flip,NoTarget,Yes,"Authored binding","3ab74dfd95fa414fbdc41f0ac20d85b6",Audible,"Player-only sparse action feedback; not core/UI/enemy policy",KEEP_AUDIBLE_REQUIRED,Keep,"Removing loses retained production feedback","GameplayActionAudioRuntimeTests; AudioRepositoryAssetSmokeCoreTests"
Flip,Invalid,Yes,"Authored binding","3ab74dfd95fa414fbdc41f0ac20d85b6",Audible,"Player-only sparse action feedback; not core/UI/enemy policy",KEEP_AUDIBLE_REQUIRED,Keep,"Removing loses retained production feedback","GameplayActionAudioRuntimeTests; AudioRepositoryAssetSmokeCoreTests"
Flip,Execute,No,"Not authorable","N/A","Removed surface","Gameplay execute timeline remains outside action audio",REMOVED_MOMENT,"Keep removed","Re-adding requires enum serialization/public surface review","GameplayActionAudioRuntimeTests; AudioArchitectureTests if reintroduced"
Flip,Recovery,No,"Not authorable","N/A","Removed surface","Gameplay recovery timeline remains outside action audio",REMOVED_MOMENT,"Keep removed","Re-adding requires enum serialization/public surface review","GameplayActionAudioRuntimeTests; AudioArchitectureTests if reintroduced"
Flip,Contact,No,"Not authorable","N/A","Removed surface","Existing contact/impact feedback lanes, not action-audio v1",REMOVED_MOMENT,"Keep removed","Re-adding requires enum serialization/public surface review","GameplayActionAudioRuntimeTests; AudioArchitectureTests if reintroduced"
Flip,ImpactEnemy,No,"Not authorable","N/A","Removed surface","Core EnemyDamage and enemy-local death ownership",REMOVED_MOMENT,"Keep removed","Duplicate same-tick action/core feedback risk","GameplayActionAudioRuntimeTests; GameplayAudioRuntimeTests; host orchestration tests if reintroduced"
Flip,Blocked,No,"Not authorable","N/A","Removed surface","Existing blocked/impact presentation lanes",REMOVED_MOMENT,"Keep removed","Stale docs could request nonexistent Moment 4","GameplayActionAudioRuntimeTests if reintroduced"
