collection,key,source_en_US,ja_JP,zh_CN,review_state
"UI","ui.main_menu.participant_reset.legacy.body","An unfinished reset from a previous test version cannot be resumed. You can start a new full reset for this version.","前のテスト版で完了しなかったリセット処理は再開できません。現バージョン向けの完全リセットを新しく開始できます。","无法继续先前测试版本中未完成的重置。可为当前版本重新执行完整重置。","Approved"
"UI","ui.main_menu.participant_reset.legacy.action","Start New Full Reset","完全リセットを新しく開始","重新执行完整重置","Approved"
"UI","ui.main_menu.participant_reset.legacy.confirm.body","Reset all 18 achievements of the current Steam account, every campaign slot, active progress and the achievement ledger at this save location, then restart?","現在のSteamアカウントの全18件の実績と、現在の保存先にある全キャンペーンスロット、進行中のデータ、実績記録をリセットして、ゲームを再起動しますか？","是否重置当前 Steam 账号的全部 18 项成就，以及当前保存位置中的所有战役存档位、当前进度和成就记录，然后重启游戏？","Approved"
"UI","ui.main_menu.participant_reset.title","Prepare Next Participant","次の参加者の準備","为下一位参与者做准备","Approved"
"UI","ui.main_menu.participant_reset.body","Reset every slot, active progress and achievement ledger at the current save location, and the target achievements of the current Steam account, then restart?","現在の保存先にある全セーブスロット、進行中のデータ、実績記録、および現在のSteamアカウントの対象実績をリセットして、ゲームを再起動しますか？","是否重置当前保存位置中的所有存档位、当前进度和成就记录，以及当前 Steam 账号的指定成就，然后重启游戏？","Approved"
"UI","ui.main_menu.participant_reset.warning","Settings are preserved. Progress cannot be recovered.","設定は保持されます。削除した進行状況は元に戻せません。","设置将保留。重置前的游戏进度无法恢复。","Approved"
"UI","ui.main_menu.participant_reset.confirm","Reset and Restart","リセットして再起動","重置并重启游戏","Approved"
"UI","ui.main_menu.participant_reset.unavailable","Prepare Next Participant\n(Steam required)","次の参加者の準備\n（Steamが必要です）","为下一位参与者做准备\n（需要 Steam）","Approved"
"UI","ui.main_menu.participant_reset.busy","Preparing the next participant. Please wait.","次の参加者向けに準備しています。しばらくお待ちください。","正在为下一位参与者做准备，请稍候。","Approved"
"UI","ui.main_menu.participant_reset.restart","Restart","再起動","重启游戏","Approved"
"UI","ui.main_menu.participant_reset.close","Close","閉じる","关闭","Approved"
"UI","ui.settings.title","Settings","設定","设置","Approved"
"UI","ui.settings.audio","Audio","オーディオ","音频","Approved"
"UI","ui.settings.display","Display","画面","显示","Approved"
"UI","ui.settings.input","Input","操作","操作","Approved"
"UI","ui.settings.input.movement_keys","Movement Keys","移動キー","移动键位","Approved"
"UI","ui.settings.input.push","Push","プッシュ","推动","Approved"
"UI","ui.settings.input.flip","Flip","フリップ","翻转","Approved"
"UI","ui.settings.input.reset_input","Reset Input","キー設定をリセット","重置键位","Approved"
"UI","ui.common.back","Back","戻る","返回","Approved"
"UI","ui.settings.language","Language","言語","语言","Approved"
"UI","ui.settings.language.english","English","英語","英语","Approved"
"UI","ui.settings.language.korean","Korean","韓国語","韩语","Approved"
"UI","ui.common.settings","Settings","設定","设置","Approved"
"UI","ui.main_menu.start","Start","スタート","开始游戏","Approved"
"UI","ui.main_menu.quit","Quit","終了","退出","Approved"
"UI","ui.pause.title","Paused","ポーズ","已暂停","Approved"
"UI","ui.pause.resume","Resume","ゲームに戻る","继续","Approved"
"UI","ui.pause.retry","Retry","リトライ","重试","Approved"
"UI","ui.pause.main_menu","Main Menu","メインメニュー","主菜单","Approved"
"UI","ui.settings.audio.volume_value","{0}%","{0}%","{0}%","Approved"
